City,report_year,Education spending,Inter_Gov_Rev,Enrollment
MADISON,2015,55836777.0,8665975.0,3165.58
MANCHESTER,2015,121800000.0,48291000.0,7351.779999999998
MANSFIELD,2015,33321255.0,20574330.0,1850.58
MARLBOROUGH,2015,15784850.0,4056299.0,1143.77
MERIDEN,2015,110843185.0,74501716.0,9006.219999999998
MIDDLEBURY,2015,19951990.0,1204064.0,1240.6
MIDDLEFIELD,2015,12323644.0,2530552.0,638.0700000000002
MIDDLETOWN,2015,82531000.0,34947000.0,5116.85
MILFORD,2015,119634000.0,24254000.0,6375.24
MONROE,2015,58009142.0,12698512.0,3367.65
MONTVILLE,2015,41507886.0,22515758.0,2470.55
MORRIS,2015,6135775.0,736549.0,317.85
NAUGATUCK,2015,64498577.0,37060076.0,4558.19
NEW BRITAIN,2015,138100000.0,103914000.0,11157.76
NEW CANAAN,2015,90682407.0,12358742.0,4253.69
NEW FAIRFIELD,2015,35540155.0,9003763.0,2549.11
NEW HARTFORD,2015,18139405.0,5236397.0,1059.33
NEW HAVEN,2015,214438961.0,248893667.0,19121.98
NEW LONDON,2015,45127644.0,36527698.0,3594.91
NEW MILFORD,2015,68604228.0,24240229.0,4291.43
NEWINGTON,2015,74223000.0,25440000.0,4317.41
NEWTOWN,2015,78608340.0,15304723.0,4857.14
NORFOLK,2015,4588779.0,1041981.0,207.02
NORTH BRANFORD,2015,32867738.0,11754418.0,2043.18
NORTH CANAAN,2015,9389722.0,3242504.0,402.05
NORTH HAVEN,2015,54392877.0,10825225.0,3359.48
NORTH STONINGTON,2015,13634499.0,5623309.0,776.0599999999998
NORWALK,2015,190790463.0,42239791.0,11451.62
NORWICH,2015,77145000.0,42763000.0,5372.71
OLD LYME,2015,24649113.0,1135130.0,1091.45
OLD SAYBROOK,2015,27286135.0,5069967.0,1408.68
ORANGE,2015,42516288.0,4620212.0,2350.86
OXFORD,2015,30525846.0,8642457.0,2025.59
PLAINFIELD,2015,39308971.0,22338181.0,2277.0
PLAINVILLE,2015,37599680.0,15660130.0,2417.2
PLYMOUTH,2015,25479888.0,12988070.0,1715.73
POMFRET,2015,11246794.0,4760838.0,608.27
WINCHESTER,2015,21792130.0,10670631.0,1217.89
WINDHAM,2015,48972918.0,36520351.0,3132.69
WINDSOR,2015,72051878.0,22366478.0,3889.09
